2001700;21002;2019-2020;10
2001700;21010;2019-2020;15
2001700;21173;2019-2020;10
2001700;21174;2019-2020;11
2001700;21175;2019-2020;10
2001700;21176;2019-2020;17
2001700;21037;2019-2020;12
2001700;21082;2019-2020;10
2001700;21111;2019-2020;14
2001700;21177;2019-2020;16
2001700;21178;2019-2020;18

2001711;21002;2017-2018;15
2001711;21010;2017-2018;16
2001711;21173;2017-2018;19
2001711;21174;2017-2018;14
2001711;21175;2017-2018;17
2001711;21176;2017-2018;14
2001711;21037;2017-2018;16
2001711;21082;2017-2018;18
2001711;21111;2017-2018;14
2001711;21177;2017-2018;12
2001711;21178;2017-2018;18
2001711;21048;2018-2019;15
2001711;21053;2018-2019;16
2001711;21078;2018-2019;19
2001711;21093;2018-2019;14
2001711;21106;2018-2019;17
2001711;21046;2018-2019;14
2001711;21071;2018-2019;16
2001711;21076;2018-2019;18
2001711;21077;2018-2019;14
2001711;21179;2018-2019;12
2001711;21020;2019-2020;18
2001711;21062;2019-2020;15
2001711;21103;2019-2020;16
2001711;21110;2019-2020;19
2001711;21180;2019-2020;14
2001711;21181;2019-2020;17
2001711;21018;2019-2020;14
2001711;21097;2019-2020;16
2001711;21108;2019-2020;18
2001711;21182;2019-2020;14
2001711;21184;2019-2020;12

2001727;21002;2018-2019;10
2001727;21010;2018-2019;12
2001727;21173;2018-2019;11
2001727;21174;2018-2019;14
2001727;21175;2018-2019;10
2001727;21176;2018-2019;10
2001727;21037;2018-2019;11
2001727;21082;2018-2019;15
2001727;21111;2018-2019;14
2001727;21177;2018-2019;13
2001727;21178;2018-2019;10
2001727;21048;2019-2020;11
2001727;21053;2019-2020;11
2001727;21078;2019-2020;15
2001727;21093;2019-2020;13
2001727;21106;2019-2020;10
2001727;21046;2019-2020;12
2001727;21071;2019-2020;12
2001727;21076;2019-2020;11
2001727;21077;2019-2020;10
2001727;21179;2019-2020;10

2001732;21002;2016-2017;10
2001732;21010;2016-2017;11
2001732;21173;2016-2017;9
2001732;21174;2016-2017;11
2001732;21175;2016-2017;10
2001732;21176;2016-2017;12
2001732;21037;2016-2017;8
2001732;21082;2016-2017;10
2001732;21111;2016-2017;11
2001732;21177;2016-2017;12
2001732;21178;2016-2017;10
2001732;21048;2017-2018;7
2001732;21053;2017-2018;9
2001732;21078;2017-2018;10
2001732;21093;2017-2018;11
2001732;21106;2017-2018;10
2001732;21046;2017-2018;9
2001732;21071;2017-2018;6
2001732;21076;2017-2018;10
2001732;21077;2017-2018;11
2001732;21179;2017-2018;10
2001732;21020;2018-2019;9
2001732;21062;2018-2019;10
2001732;21103;2018-2019;8
2001732;21110;2018-2019;11
2001732;21180;2018-2019;7
2001732;21181;2018-2019;8
2001732;21018;2018-2019;9
2001732;21097;2018-2019;8
2001732;21108;2018-2019;10
2001732;21182;2018-2019;11
2001732;21184;2018-2019;7
2001732;21173;2019-2020;10
2001732;21037;2019-2020;11
2001732;21048;2019-2020;10
2001732;21053;2019-2020;12
2001732;21046;2019-2020;10
2001732;21071;2019-2020;11
2001732;21020;2019-2020;12
2001732;21103;2019-2020;13
2001732;21180;2019-2020;11
2001732;21181;2019-2020;12
2001732;21018;2019-2020;10
2001732;21097;2019-2020;14
2001732;21184;2019-2020;11

2001749;21002;2018-2019;16
2001749;21010;2018-2019;17
2001749;21173;2018-2019;15
2001749;21174;2018-2019;20
2001749;21175;2018-2019;19
2001749;21176;2018-2019;16
2001749;21037;2018-2019;14
2001749;21082;2018-2019;18
2001749;21111;2018-2019;17
2001749;21177;2018-2019;13
2001749;21178;2018-2019;15
2001749;21048;2019-2020;19
2001749;21053;2019-2020;18
2001749;21078;2019-2020;19
2001749;21093;2019-2020;20
2001749;21106;2019-2020;17
2001749;21046;2019-2020;16
2001749;21071;2019-2020;18
2001749;21076;2019-2020;16
2001749;21077;2019-2020;15
2001749;21179;2019-2020;16

2001753;21002;2019-2020;12
2001753;21010;2019-2020;16
2001753;21173;2019-2020;14
2001753;21174;2019-2020;13
2001753;21175;2019-2020;11
2001753;21176;2019-2020;17
2001753;21037;2019-2020;15
2001753;21082;2019-2020;15
2001753;21111;2019-2020;14
